n,probability,1/sqrt(ln(n)),ratio
667,0.32574,0.392148,0.830656
668,0.32435,0.392103,0.827206
669,0.32528,0.392058,0.829673
670,0.32361,0.392013,0.825509
671,0.32503,0.391968,0.829226
672,0.32198,0.391923,0.821539
673,0.32758,0.391878,0.835923
674,0.32433,0.391834,0.827724
675,0.32701,0.391789,0.834658
676,0.32184,0.391745,0.821556
677,0.32476,0.3917,0.829104
678,0.32562,0.391656,0.831393
679,0.32278,0.391612,0.824235
680,0.324,0.391567,0.827444
681,0.32594,0.391523,0.832492
682,0.32113,0.391479,0.820299
683,0.32596,0.391435,0.83273
684,0.32607,0.391391,0.833105
685,0.32689,0.391348,0.835293
686,0.32561,0.391304,0.832115
687,0.32523,0.39126,0.831237
688,0.32468,0.391217,0.829924
689,0.32573,0.391173,0.8327
690,0.32256,0.39113,0.824688
691,0.3231,0.391087,0.82616
692,0.32459,0.391043,0.830061
693,0.32508,0.391,0.831406
694,0.32406,0.390957,0.828889
695,0.32334,0.390914,0.827138
696,0.3232,0.390871,0.826871
697,0.32421,0.390828,0.829546
698,0.32338,0.390785,0.827513
699,0.32559,0.390743,0.833259
700,0.32406,0.3907,0.829434
701,0.32552,0.390658,0.833262
702,0.32531,0.390615,0.832815
703,0.32235,0.390573,0.825327
704,0.32767,0.39053,0.839039
705,0.32587,0.390488,0.83452
706,0.32583,0.390446,0.834508
707,0.32313,0.390404,0.827682
708,0.32473,0.390362,0.83187
709,0.32283,0.39032,0.827091
710,0.32491,0.390278,0.83251
711,0.32163,0.390236,0.824194
712,0.32407,0.390194,0.830535
713,0.32467,0.390153,0.832162
714,0.32359,0.390111,0.829482
715,0.32341,0.390069,0.829109
716,0.32126,0.390028,0.823685
717,0.32197,0.389987,0.825593
718,0.3221,0.389945,0.826013
719,0.32641,0.389904,0.837155
720,0.32463,0.389863,0.832678
721,0.3224,0.389822,0.827045
722,0.32396,0.389781,0.831134
723,0.32193,0.38974,0.826013
724,0.32296,0.389699,0.828743
725,0.32178,0.389658,0.825801
726,0.32322,0.389617,0.829584
727,0.32204,0.389576,0.826641
728,0.32216,0.389536,0.827036
729,0.32444,0.389495,0.832976
730,0.32274,0.389455,0.828697
731,0.32112,0.389414,0.824623
732,0.32222,0.389374,0.827534
733,0.32127,0.389334,0.825179
734,0.32375,0.389293,0.831635
735,0.32496,0.389253,0.834829
736,0.32122,0.389213,0.825306
737,0.32291,0.389173,0.829733
738,0.32213,0.389133,0.827814
739,0.3217,0.389093,0.826794
740,0.32392,0.389054,0.832585
741,0.3201,0.389014,0.82285
742,0.32268,0.388974,0.829567
743,0.32171,0.388934,0.827157
744,0.32038,0.388895,0.823822
745,0.32377,0.388855,0.832623
746,0.32376,0.388816,0.832682
747,0.32298,0.388777,0.83076
748,0.32237,0.388737,0.829275
749,0.32162,0.388698,0.827429
750,0.32342,0.388659,0.832144
751,0.31961,0.38862,0.822423
752,0.32432,0.388581,0.834627
753,0.32411,0.388542,0.83417
754,0.32113,0.388503,0.826583
755,0.3191,0.388464,0.82144
756,0.32144,0.388425,0.827547
757,0.32484,0.388386,0.836383
758,0.32172,0.388348,0.828433
759,0.32097,0.388309,0.826584
760,0.32077,0.388271,0.82615
761,0.32248,0.388232,0.830637
762,0.32103,0.388194,0.826984
763,0.31967,0.388155,0.823562
764,0.31994,0.388117,0.824339
765,0.32305,0.388079,0.832434
766,0.32103,0.388041,0.82731
767,0.31752,0.388003,0.818345
768,0.3198,0.387965,0.824302
769,0.32232,0.387927,0.830879
770,0.31925,0.387889,0.823045
771,0.32299,0.387851,0.832769
772,0.31793,0.387813,0.819802
773,0.3204,0.387775,0.826252
774,0.3172,0.387738,0.818079
775,0.31943,0.3877,0.82391
776,0.32106,0.387662,0.828195
777,0.32264,0.387625,0.832351
778,0.31863,0.387587,0.822086
779,0.31955,0.38755,0.824539
780,0.31819,0.387513,0.821109
781,0.32214,0.387475,0.831382
782,0.31814,0.387438,0.821137
783,0.32147,0.387401,0.829812
784,0.31915,0.387364,0.823902
785,0.32233,0.387327,0.832191
786,0.32033,0.38729,0.827107
787,0.3177,0.387253,0.820394
788,0.31853,0.387216,0.822616
789,0.31914,0.387179,0.824269
790,0.3175,0.387143,0.820111
791,0.31989,0.387106,0.826363
792,0.31956,0.387069,0.825589
793,0.31992,0.387033,0.826597
794,0.31797,0.386996,0.821636
795,0.31993,0.38696,0.826779
796,0.32017,0.386923,0.827477
797,0.31679,0.386887,0.818818
798,0.32222,0.386851,0.832931
799,0.31933,0.386814,0.825538
800,0.31849,0.386778,0.823444
801,0.32025,0.386742,0.828071
802,0.32197,0.386706,0.832597
803,0.31958,0.38667,0.826493
804,0.31742,0.386634,0.820983
805,0.32034,0.386598,0.828613
806,0.31812,0.386562,0.822947
807,0.31831,0.386526,0.823514
808,0.31663,0.386491,0.819244
809,0.32236,0.386455,0.834147
810,0.32002,0.386419,0.828168
811,0.31879,0.386384,0.825061
812,0.31768,0.386348,0.822264
813,0.31837,0.386313,0.824125
814,0.31975,0.386277,0.827773
815,0.31852,0.386242,0.824665
816,0.31918,0.386206,0.826449
817,0.31953,0.386171,0.827431
